query_id,k,condition,bundle_id,delta_ragdefender_mean_pp_cosine,delta_ragdefender_mean_pc_cosine,delta_ragdefender_mean_cc_cosine,delta_ragdefender_top_pair_pp,delta_ragdefender_top_pair_pc,delta_ragdefender_top_pair_cc,delta_ragdefender_removed_poison,delta_ragdefender_removed_clean,delta_ragdefender_residual_poison_fraction,delta_ragdefender_n_adv_estimated,delta_filterrag_removed_poison,delta_filterrag_removed_clean,delta_filterrag_residual_poison_fraction,delta_filterrag_mean_freq_density_poison,delta_filterrag_mean_matched_freq_sum_poison,delta_ml_mean_poison_probability,delta_ml_mean_freq_density_poison,delta_ml_mean_matched_freq_sum_poison,delta_ml_mean_perplexity_poison,delta_ml_mean_slm_answer_logprob_poison,delta_ml_removed_poison_t035,delta_ml_removed_clean_t035,delta_ml_residual_poison_fraction_t035,delta_ml_removed_poison_t04,delta_ml_removed_clean_t04,delta_ml_residual_poison_fraction_t04,delta_ml_removed_poison_t05,delta_ml_removed_clean_t05,delta_ml_residual_poison_fraction_t05,delta_removed_poison,delta_removed_clean,delta_residual_poison_fraction,delta_top_pair_pp,delta_mean_poison_probability,delta_freq_density,delta_matched_freq_sum
5aba749055429901930fa7d8,10,clean_context,gpt_b02,-0.13144688606262211,-0.026327793709933767,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.2728180907092116,,-0.05599999999999994,-0.2728180907092116,-7.600000000000001,74.17087095327673,0.36761027574539185,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.05599999999999994,-0.2728180907092116,
5aba749055429901930fa7d8,10,clean_context,gpt_b03,-0.11166155934333799,-0.07906970642507077,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.2118396771670017,,-0.16999999999999993,-0.2118396771670017,-6.000000000000002,85.44227694698748,-0.311774244904518,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.16999999999999993,-0.2118396771670017,
5ae224da554299234fd043ee,10,no_clean_context,gpt_b01,-0.08837733864784247,0.10823553860187529,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.6675471629264734,,-0.30399999999999994,-0.6675471629264734,-18.0,199.1539572307037,1.2837022490799428,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.30399999999999994,-0.6675471629264734,
5ae224da554299234fd043ee,10,no_clean_context,gpt_b02,-0.12974214553833008,0.10560028612613681,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.5701208493644535,,-0.378,-0.5701208493644535,-14.400000000000002,142.46901950705112,-2.2194907121360306,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.378,-0.5701208493644535,
5ae224da554299234fd043ee,10,no_clean_context,gpt_b03,-0.175201290845871,0.08473194181919097,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.695193146572457,,-0.28800000000000003,-0.695193146572457,-18.400000000000002,136.7853250985398,1.269607750326395,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.28800000000000003,-0.695193146572457,
5ae224da554299234fd043ee,10,clean_context,gpt_b01,-0.11434987783432005,0.10254029810428622,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.6927394508550042,,-0.238,-0.6927394508550042,-16.8,82.98653102765013,1.3430336602032185,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.238,-0.6927394508550042,
5ae224da554299234fd043ee,10,clean_context,gpt_b02,-0.17386623024940495,0.08700565874576566,0.0,-1,1,0,0,0,0.0,0,0,0,0.0,-0.672207371454329,,-0.42600000000000005,-0.672207371454329,-16.400000000000002,238.94042125059573,0.9978957928717137,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-1,-0.42600000000000005,-0.672207371454329,
5ae224da554299234fd043ee,10,clean_context,gpt_b03,-0.15206031203269965,0.0939775449037552,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.6861545694557867,,-0.3340000000000001,-0.6861545694557867,-17.0,116.05013499031315,1.3073686696588993,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.3340000000000001,-0.6861545694557867,
5ae22b8d554299234fd0440f,10,no_clean_context,gpt_b01,-0.07262764573097225,0.02194603979587556,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.6384485495347564,,-0.43999999999999995,-0.6384485495347564,-14.999999999999998,8.340797833883755,0.4963940143585205,-2,0,0.4,-2,0,0.4,-3,0,0.6,-2,0,0.4,0,-0.43999999999999995,-0.6384485495347564,
5ae22b8d554299234fd0440f,10,no_clean_context,gpt_b02,-0.08813150525093072,0.01718231201171877,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.5865953101918062,,-0.28,-0.5865953101918062,-13.2,8.83042140857362,0.5353120781481266,0,0,0.0,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.28,-0.5865953101918062,
5ae22b8d554299234fd0440f,10,no_clean_context,gpt_b03,-0.10111817121505728,0.0061402285099029785,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.591532931946725,,-0.33000000000000007,-0.591532931946725,-14.0,23.14300214867162,-0.25224915444850926,0,0,0.0,-2,0,0.4,-2,0,0.4,-2,0,0.4,0,-0.33000000000000007,-0.591532931946725,
5ae22b8d554299234fd0440f,10,clean_context,gpt_b01,-0.09754711389541626,0.04096880555152893,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.6395396825396825,,-0.3959999999999999,-0.6395396825396825,-14.399999999999999,20.449124066411486,0.3516904015094042,-1,0,0.2,-1,0,0.2,-1,0,0.2,-1,0,0.2,0,-0.3959999999999999,-0.6395396825396825,
5ae22b8d554299234fd0440f,10,clean_context,gpt_b02,-0.08208053708076468,0.03615767478942872,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.6679165929855585,,-0.19999999999999996,-0.6679165929855585,-15.599999999999998,30.00909834087973,0.25765821859240534,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.19999999999999996,-0.6679165929855585,
5ae22b8d554299234fd0440f,10,clean_context,gpt_b03,-0.09446923732757562,0.034041103124618555,0.0,0,0,0,0,0,0.0,0,0,0,0.0,-0.6321505901505902,,-0.33199999999999996,-0.6321505901505902,-15.399999999999999,22.401674219699416,0.4401898365467787,0,0,0.0,0,0,0.0,-1,0,0.2,0,0,0.0,0,-0.33199999999999996,-0.6321505901505902,
